1	One Piece
2	Boruto: Naruto Next Generations
3	My Hero Academia
4	Dragon Ball Super
5	Dragon Ball Super
6	Black Clover
7	Boruto: Naruto Next Generations
8	Monster #8
9	Chainsaw Man
10	Dr. STONE
11	Burn the Witch
12	ONE PIECE
13	We Never Learn
14	Mashle: Magic and Muscles
15	SPY x FAMILY
16	Excuse me dentist, it's touching me!
17	Naruto
18	My Hero Academia
19	Jujutsu Kaisen
20	Phantom Seer
21	Ayakashi Triangle
22	Demon Slayer: Kimetsu no Yaiba
23	Time Paradox Ghostwriter
24	Black Clover
25	8Kaijuu
26	UNDEAD UNLUCK
27	Mission: Yozakura Family
28	'Tis Time for "Torture," Princess
29	Hell's Paradise: Jigokuraku
30	One Piece re-edition
